# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4960
#@/user_id	MBP-2019
a 	啊	c=67 d=7.11815 t=4960
a li lang 	阿里郎	c=1 d=0.00299743 t=4960
ai de 	愛的	c=0 d=0.00381969 t=4960
ai de zhen di 	愛的真諦	c=1 d=0.0383884 t=4960
ai guo 	愛國	c=1 d=1 t=4960
ai yan 	礙眼	c=1 d=1 t=4394
an 	按	c=1 d=0.0948935 t=4960
an hei 	暗黑	c=1 d=0.946485 t=4960
an jian 	按鍵	c=1 d=1 t=2815
an qing 	安慶	c=1 d=1 t=3302
an quan 	安全	c=1 d=1 t=3303
an zhao 	按照	c=2 d=1.98511 t=4305
ao men 	澳門	c=1 d=0.0140519 t=4960
ao zhou 	熬粥	c=1 d=0.329559 t=4960
ba 	吧	c=55 d=2.40147 t=4960
ba 	把	c=11 d=1.39168 t=4960
ba li 	巴黎	c=1 d=0.0500366 t=4960
bai du 	百度	c=2 d=0.339596 t=4960
ban 	搬	c=1 d=1 t=2615
ban 	板	c=0 d=0.1 t=4364
ban 	版	c=1 d=0.852144 t=4960
ban ben 	版本	c=1 d=0.0020396 t=4960
ban dao 	搬到	c=2 d=1.75201 t=2514
ban fa 	辦法	c=1 d=0.0309618 t=4960
ban gong shi 	辦公室	c=4 d=2.92052 t=2602
ban jiao 	半角	c=4 d=1.96531 t=4960
ban nian 	半年	c=1 d=0.268474 t=4960
ban ye 	半夜	c=0 d=0.1 t=4705
bang ding 	綁定	c=0 d=0.00561348 t=4960
bang ding le 	綁定了	c=1 d=0.0564161 t=4960
bang mang 	幫忙	c=1 d=1 t=4511
bao 	包	c=0 d=0.097531 t=4960
bao gao 	報告	c=1 d=1 t=3100
bao kuo 	包括	c=1 d=1 t=4420
bao li 	暴力	c=1 d=0.0428521 t=4960
bao shui 	報稅	c=2 d=1.8825 t=4323
bao zhe 	抱着	c=1 d=1 t=3674
bei 	被	c=5 d=0.748611 t=4960
bei bao wen ti 	背包问题	c=1 d=1 t=4591
bei chao you yu 	被炒魷魚	c=1 d=0.283654 t=4960
bei ding shang 	被盯上	c=1 d=0.802519 t=4960
bei fen 	備份	c=2 d=1.0002 t=4960
bei jing 	北京	c=2 d=1.99005 t=3336
bei jing 	背景	c=2 d=0.174645 t=4960
bei song 	背誦	c=1 d=1 t=4363
ben di 	本地	c=1 d=1 t=3442
ben lai 	本來	c=1 d=1 t=3758
bi 	比	c=6 d=0.304221 t=4960
bi bei 	必備	c=1 d=0.00329615 t=4960
bi bi feng tou 	避避風頭	c=1 d=0.351692 t=4960
bi ji ben 	筆記本	c=4 d=0.0386758 t=4960
bi jiao 	比較	c=12 d=0.981512 t=4960
bi jiao da 	比較大	c=1 d=1 t=3468
bi jiao hao 	比較好	c=2 d=0.763379 t=4960
bi jiao shao 	比較少	c=0 d=0.000900478 t=4960
bi jiao shao qu 	比較少去	c=1 d=0.00904991 t=4960
bi jing 	畢竟	c=1 d=0.265803 t=4960
bi li 	比例	c=0 d=0.1 t=4452
bi qu jian 	閉區間	c=1 d=1 t=4419
bi ru 	比如	c=1 d=0.000266536 t=4960
bi ru shuo 	比如說	c=1 d=0.000629868 t=4960
bi wo 	逼我	c=1 d=0.0026852 t=4960
bian 	扁	c=1 d=1 t=3434
bian fu 	蝙蝠	c=2 d=0.000692058 t=4960
bian kuang 	邊框	c=1 d=0.00937227 t=4960
