# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2427
#@/user_id	MBP-C1-2017
a 	啊	c=36 d=7.11815 t=2427
a li lang 	阿里郎	c=1 d=1 t=1265
ai de 	愛的	c=0 d=0.00381969 t=2427
ai de zhen di 	愛的真諦	c=1 d=0.0383884 t=2427
ai guo 	愛國	c=1 d=1 t=2427
an 	按	c=1 d=0.0948935 t=2427
an hei 	暗黑	c=1 d=0.946485 t=2427
ao men 	澳門	c=1 d=1 t=1574
ao zhou 	熬粥	c=1 d=0.329559 t=2427
ba 	吧	c=33 d=2.40147 t=2427
ba 	把	c=5 d=1.67046 t=1706
ba li 	巴黎	c=1 d=0.0500366 t=2427
bai du 	百度	c=1 d=0.227638 t=2427
ban 	版	c=1 d=0.852144 t=2427
ban ben 	版本	c=1 d=1 t=1188
ban fa 	辦法	c=1 d=1 t=1732
ban jiao 	半角	c=3 d=1.96531 t=2427
ban nian 	半年	c=1 d=0.268474 t=2427
bang ding 	綁定	c=0 d=0.00561348 t=2427
bang ding le 	綁定了	c=1 d=0.0564161 t=2427
bao 	包	c=0 d=0.097531 t=2427
bao li 	暴力	c=1 d=1 t=1797
bei 	被	c=3 d=0.937503 t=2382
bei chao you yu 	被炒魷魚	c=1 d=1 t=2175
bei ding shang 	被盯上	c=1 d=1 t=2383
bei fen 	備份	c=2 d=1.0002 t=2427
bei jing 	背景	c=1 d=1 t=2078
bi 	比	c=4 d=0.304221 t=2427
bi bei 	必備	c=1 d=1 t=1284
bi bi feng tou 	避避風頭	c=1 d=1 t=2218
bi ji ben 	筆記本	c=3 d=2.04922 t=1633
bi jiao 	比較	c=6 d=0.981512 t=2427
bi jiao hao 	比較好	c=1 d=1 t=2373
bi jiao shao 	比較少	c=0 d=0.1 t=1485
bi jiao shao qu 	比較少去	c=1 d=1 t=1486
bi jing 	畢竟	c=1 d=0.265803 t=2427
bi ru 	比如	c=1 d=1 t=781
bi ru shuo 	比如說	c=1 d=1 t=953
bi wo 	逼我	c=1 d=1 t=1243
bian fu 	蝙蝠	c=2 d=1.91393 t=842
bian kuang 	邊框	c=1 d=1 t=1493
bian xian 	變現	c=1 d=1 t=2425
bian xin 	變心	c=1 d=0.634448 t=2427
bian yuan 	邊緣	c=1 d=1 t=1310
biao dian fu hao 	標點符號	c=1 d=1 t=2427
biao zhun 	標準	c=1 d=1 t=1604
bie ren 	別人	c=2 d=1.1219 t=2427
bu 	不	c=2 d=0.306999 t=2427
bu cuo 	不錯	c=1 d=1 t=1491
bu dao 	不到	c=0 d=0.1 t=2159
bu dao ru 	不導入	c=1 d=1 t=791
bu guo 	不過	c=8 d=1.55149 t=2427
bu hao 	不好	c=1 d=1 t=1100
bu hui 	不會	c=1 d=1 t=1353
bu ji huo 	不激活	c=1 d=0.22091 t=2427
bu jin xian yu 	不僅限於	c=1 d=0.191092 t=2427
bu kai chu 	不開除	c=1 d=1 t=2391
bu ke yi 	不可以	c=1 d=1 t=2168
bu men 	部門	c=1 d=1 t=2102
bu neng 	不能	c=3 d=0.257657 t=2427
bu pa 	不怕	c=0 d=0.1 t=1237
bu pa shao 	不怕燒	c=1 d=1 t=1238
bu quan 	補全	c=1 d=0.344728 t=2427
bu que ding 	不確定	c=1 d=1 t=1435
bu ran 	不然	c=1 d=1 t=2410
bu rang 	不讓	c=1 d=1 t=1337
bu shao 	不少	c=1 d=1.00484 t=1934
bu shi 	不是	c=4 d=0.648127 t=2427
bu shi ba 	不是吧	c=1 d=0.980199 t=2427
bu shi hen da 	不是很大	c=1 d=0.357007 t=2427
bu shuang 	不爽	c=1 d=1 t=1331
bu tong 	不同	c=0 d=0.1 t=1911
bu xia qu 	不下去	c=1 d=1 t=2388
bu xiang 	不像	c=2 d=0.0428521 t=2427
bu xing 	不行	c=2 d=1.08291 t=1408
bu xu yao 	不需要	c=2 d=0.071719 t=2427
bu ying gai 	不應該	c=3 d=1.00627 t=2032
bu yong 	不用	c=2 d=1.09442 t=2318
bu zhi dao 	不知道	c=5 d=2.08741 t=2276
bu zhi dao ne 	不知道呢	c=4 d=1.48863 t=2369
cai 	才	c=2 d=1.63128 t=1900
cai xing 	才行	c=1 d=1 t=1423
can jia 	參加	c=2 d=0.23457 t=2427
cang qi lai 	藏起來	c=1 d=1 t=1819
ce shi 	測試	c=0 d=0.1 t=2074
ce shi guo 	測試過	c=1 d=1 t=2075
cha 	差	c=0 d=0.0106459 t=2427
cha 	查	c=1 d=0.12128 t=2298
cha bu duo 	差不多	c=1 d=0.467666 t=2427
cha bu tai duo 	差不太多	c=1 d=0.106992 t=2427
cha guan 	插管	c=1 d=1 t=970
cha jian 	插件	c=1 d=0.0977834 t=2427
cha le yi xia 	查了一下	c=1 d=1 t=2299
chang yong 	常用	c=0 d=0.1 t=786
chang yong zi mu 	常用字母	c=1 d=1 t=787
chao man 	超慢	c=1 d=1 t=1043
chao you yu 	炒魷魚	c=0 d=0.1 t=2174
chen 	陳	c=1 d=1.00978 t=1282
chen qiu shi 	陳秋实	c=1 d=1 t=818
cheng qian shang wan 	成千上萬	c=1 d=1 t=1207
cheng shu 	成熟	c=2 d=0.0773047 t=2427
chi 	吃	c=3 d=0.245367 t=2427
chi le 	吃了	c=1 d=0.316637 t=2427
chi sha 	吃啥	c=1 d=0.239309 t=2427
chi xu 	持續	c=1 d=0.818731 t=2427
chong qi 	重啓	c=1 d=1 t=926
chong qing 	重慶	c=0 d=0.0918512 t=2427
chong qing xiao 	重慶小	c=1 d=0.923116 t=2427
chong xin 	重新	c=1 d=1 t=2324
chou jiang 	抽獎	c=1 d=1 t=1476
chu 	出	c=1 d=1 t=1076
chu fei 	除非	c=1 d=0.449329 t=2427
chu ge 	出個	c=1 d=1 t=941
chu lai 	出來	c=1 d=0.35924 t=1470
chu lai le 	出來了	c=3 d=2.16164 t=1736
chu le 	除了	c=1 d=1 t=1190
chu mo ban 	觸摸板	c=1 d=1 t=1517
chu xian 	出現	c=1 d=0.782705 t=2427
chuan ran 	傳染	c=1 d=1 t=1621
chuang zuo 	創作	c=1 d=1 t=1266
chun 	純	c=1 d=1 t=1674
chun wan 	春晚	c=1 d=1 t=817
ci dian 	詞典	c=1 d=0.956755 t=2427
ci ku 	詞庫	c=4 d=1.99501 t=2427
ci shen 	刺身	c=1 d=1 t=825
cong 	從	c=2 d=1.16447 t=1299
cong you bing 	蔥油餅	c=1 d=1 t=1686
